UDI,Asset ID,Asset Name,Make / Model,Equipment Class,Criticality Tier,Location,Product ID,Type,Air temperature [K],Process temperature [K],Rotational speed [rpm],Torque [Nm],Tool wear [min],Machine failure,TWF,HDF,PWF,OSF,RNF
1,LD-01,Wheel Loader,Caterpillar 992K,Mobile - loading,M,ROM Pad,M14860,M,298.1,308.6,1551,42.8,0,0,0,0,0,0,0
2,GR-02,Motor Grader,Caterpillar 16M3,Mobile - road maint.,L,Haul Road Network,L47181,L,298.2,308.7,1408,46.3,3,0,0,0,0,0,0
3,DZ-01,Track Dozer,Caterpillar D10T2,Mobile - earthmoving,L,Open Pit - Stage 3,L47182,L,298.1,308.5,1498,49.4,5,0,0,0,0,0,0
4,SV-01,Service / Lube Truck,Isuzu FVZ service body,Mobile - field maint.,L,Haul Road Network,L47183,L,298.2,308.6,1433,39.5,7,0,0,0,0,0,0
5,LV-05,Light Vehicle,Toyota HiLux,Mobile - light vehicle,L,Haul Road Network,L47184,L,298.2,308.7,1408,40.0,9,0,0,0,0,0,0
6,HT-03,Rigid Dump Truck,Caterpillar 793F,Mobile - hauling,M,Open Pit - Stage 3,M14865,M,298.1,308.6,1425,41.9,11,0,0,0,0,0,0
7,SV-01,Service / Lube Truck,Isuzu FVZ service body,Mobile - field maint.,L,Haul Road Network,L47186,L,298.1,308.6,1558,42.4,14,0,0,0,0,0,0
8,LV-06,Light Vehicle,Toyota HiLux,Mobile - light vehicle,L,Tailings Storage Facility,L47187,L,298.1,308.6,1527,40.2,16,0,0,0,0,0,0
9,HT-03,Rigid Dump Truck,Caterpillar 793F,Mobile - hauling,M,Open Pit - Stage 3,M14868,M,298.3,308.7,1667,28.6,18,0,0,0,0,0,0
10,HT-06,Rigid Dump Truck,Komatsu HD785-8,Mobile - hauling,M,ROM Pad,M14869,M,298.5,309.0,1741,28.0,21,0,0,0,0,0,0
11,SC-01,Secondary Cone Crusher,Sandvik CH870i,Fixed plant - crushing,H,Primary Crushing Circuit,H29424,H,298.4,308.9,1782,23.9,24,0,0,0,0,0,0
12,TH-01,CIL Thickener Drive,Outotec high-rate,Fixed plant - processing,H,Grinding / CIL Circuit,H29425,H,298.6,309.1,1423,44.3,29,0,0,0,0,0,0
13,HT-04,Rigid Dump Truck,Caterpillar 793F,Mobile - hauling,M,Open Pit - Stage 2,M14872,M,298.6,309.1,1339,51.1,34,0,0,0,0,0,0
14,HT-06,Rigid Dump Truck,Komatsu HD785-8,Mobile - hauling,M,ROM Pad,M14873,M,298.6,309.2,1742,30.0,37,0,0,0,0,0,0
15,WC-04,Water Cart,Caterpillar 773 (55 kL),Mobile - dust supp.,L,Open Pit - Stage 2,L47194,L,298.6,309.2,2035,19.6,40,0,0,0,0,0,0
16,LV-03,Light Vehicle,Toyota LandCruiser 79,Mobile - light vehicle,L,ROM Pad,L47195,L,298.6,309.2,1542,48.4,42,0,0,0,0,0,0
17,DR-03,Down-the-Hole Drill,Epiroc SmartROC D65,Mobile - drilling,M,Open Pit - Stage 2,M14876,M,298.6,309.2,1311,46.6,44,0,0,0,0,0,0
18,DR-01,Rotary Blasthole Drill,Epiroc Pit Viper 271,Mobile - drilling,M,Open Pit - Stage 3,M14877,M,298.7,309.2,1410,45.6,47,0,0,0,0,0,0
19,PC-01,Primary Jaw Crusher,Metso Nordberg C160,Fixed plant - crushing,H,Primary Crushing Circuit,H29432,H,298.8,309.2,1306,54.5,50,0,0,0,0,0,0
20,HT-01,Rigid Dump Truck,Caterpillar 793F,Mobile - hauling,M,Open Pit - Stage 3,M14879,M,298.9,309.3,1632,32.5,55,0,0,0,0,0,0
